"$78,750 ",Pleasant Valley Joint Union Elementary School District / 981
"$78,718 ","Petaluma Joint Union High School District / 75,277"
"$78,685 ","Torrance Unified School District / 146,841"
"$78,378 ","San Francisco Unified School District / 829,072"
"$78,182 ",Browns Elementary School District / 930
"$77,941 ","West Side Union Elementary School District / 1,114"
"$77,883 ","San Rafael City Elementary School District / 55,283"
"$77,602 ","Ramona City Unified School District / 35,871"
"$77,500 ","Oak View Union Elementary School District / 2,836"
"$77,304 ","Ocean View Elementary School District / 94,443"
"$77,139 ","Bennett Valley Union Elementary School District / 9,386"
"$76,868 ","Huntington Beach Union High School District / 319,151"
"$76,750 ","Liberty Elementary School District / 2,115"
"$76,702 ","Bonita Unified School District / 62,559"
"$76,619 ","Folsom-Cordova Unified School District / 124,193"
"$76,607 ",Tres Pinos Union Elementary School District / 798
"$76,575 ","Glendora Unified School District / 37,616"
"$76,439 ","Alameda City Unified School District / 75,763"
"$76,337 ","Twin Hills Union Elementary School District / 5,726"
"$76,250 ",Mulberry Elementary School District / 138
"$76,012 ","Golden Valley Unified School District / 10,471"
"$75,921 ","Brisbane Elementary School District / 8,353"
"$75,813 ","Franklin Elementary School District / 2,444"
"$75,764 ",Laguna Joint Elementary School District / 464
"$75,726 ","Valley Center-Pauma Unified School District / 24,700"
"$75,675 ","Mount Diablo Unified School District / 258,884"
"$75,500 ","Wilmar Union Elementary School District / 3,125"
"$75,417 ","San Antonio Union Elementary School District / 1,869"
"$75,350 ","Mark West Union Elementary School District / 14,831"
"$75,117 ","Pasadena Unified School District / 205,980"
"$75,091 ","Pacific Grove Unified School District / 18,360"
"$75,036 ","Imperial Unified School District / 22,164"
"$74,968 ","Piner-Olivet Union Elementary School District / 16,084"
"$74,712 ","Bolinas-Stinson Union Elementary School District / 1,929"
"$74,688 ","Gravenstein Union Elementary School District / 5,850"
"$74,633 ","Walnut Creek Elementary School District / 49,385"
"$74,586 ","East Whittier City Elementary School District / 75,144"
"$74,559 ","Murrieta Valley Unified School District / 107,409"
"$74,449 ","Santee Elementary School District / 58,990"
"$74,365 ","Oakley Union Elementary School District / 34,885"
"$74,246 ","Ripon Unified School District / 17,319"
"$74,167 ","Arcohe Union Elementary School District / 4,471"
"$74,122 ","Black Oak Mine Unified School District / 12,869"
"$74,058 ","Templeton Unified School District / 10,269"
"$74,031 ","Martinez Unified School District / 28,877"
"$73,811 ","El Dorado Union High School District / 139,364"
"$73,750 ","Santa Ynez Valley Union High School District / 20,599"
"$73,750 ",Garfield Elementary School District / 379
"$73,731 ","San Lorenzo Valley Unified School District / 24,210"
"$73,513 ","Roseville City Elementary School District / 89,049"
"$73,362 ","Sulphur Springs Union Elementary School District / 62,728"
"$73,271 ","Oak Grove Union Elementary School District / 4,903"
"$73,170 ","Lakeside Union Elementary School District / 7,182"
"$73,068 ",Blochman Union Elementary School District / 923
"$73,056 ","Howell Mountain Elementary School District / 4,132"
"$72,908 ","Orcutt Union Elementary School District / 36,783"
"$72,830 ","Vacaville Unified School District / 78,090"
"$72,810 ","Name N/A / 103,960"
"$72,500 ",Plaza Elementary School District / 291
"$72,256 ","Jefferson Elementary School District / 89,287"
"$72,128 ","John Swett Unified School District / 14,876"
"$72,055 ","Charter Oak Unified School District / 36,949"
"$71,696 ","Monrovia Unified School District / 44,311"
"$71,675 ","ABC Unified School District / 106,746"
"$71,563 ",Roberts Ferry Union Elementary School District / 342
"$71,546 ","Carpinteria Unified School District / 18,090"
"$71,250 ",Outside Creek Elementary School District / 517
"$71,250 ",Name N/A / 517
"$71,236 ","Fruitvale Elementary School District / 20,456"
"$71,210 ","Placer Hills Union Elementary School District / 13,707"
"$71,094 ",Pleasant Grove Joint Union Elementary School District / 867
"$71,042 ",Vista del Mar Union Elementary School District / 420
